raw_content,content
NAJISSSSS!!! Badan gw cakep juga bukan buat laki kurus kerempeng gendut jelek kaya yg komen! Pernah gw dikatain gara2 deadlift katanya bayangin badan kaya ade rai muka cewe laahhh trs knp? Gw sih lbh jijik liat org badan segede alaihum gambreng tp gak ada effort jaga kesehatan https://t.co/lZbmZB3HBc,NAJISSSSS!!! Badan gw cakep juga bukan buat laki kurus kerempeng gendut jelek kaya yg komen! Pernah gw dikatain gara2 deadlift katanya bayangin badan kaya ade rai muka cewe laahhh trs knp? Gw sih lbh jijik liat org badan segede alaihum gambreng tp gak ada effort jaga kesehatan
@februar_ry Dulu jelek dan kurus,Dulu jelek dan kurus
"Ternyata, tidak ada hal yang berhasil saya tinggalkan. Termasuk nama dalam ingatan pun dalam ucapan.","Ternyata, tidak ada hal yang berhasil saya tinggalkan. Termasuk nama dalam ingatan pun dalam ucapan."
Ada catalog baru ospek kecil'an yuk. https://t.co/XUH3ZIquOr,Ada catalog baru ospek kecil'an yuk.
kabarnya smpe skrg blm juga di cancel https://t.co/jEXlZyK5np,kabarnya smpe skrg blm juga di cancel
mending lu diem ya njing!! tdi ngatain bodoh skrng ngatain childis! yg childis tuh lu ngurusin idol org aja https://t.co/hiZ7nlr3E0,mending lu diem ya njing!! tdi ngatain bodoh skrng ngatain childis! yg childis tuh lu ngurusin idol org aja
Oh ini la video asalnya. Kan dah mendapat. Bodoh punya orang.  https://t.co/u8A0poKqWv,Oh ini la video asalnya. Kan dah mendapat. Bodoh punya orang.
"@ub_mfs Ospek bukan ajang cantik2an, bukan ajang tebar pesona.","Ospek bukan ajang cantik2an, bukan ajang tebar pesona."
Useless,Useless
"Jujurlah wahai kating, OSPEK marah marah yang kamu buat itu bukan tentang mendidik adik tingkat. Kamu buat OSPEK marah marah itu buat hiburanmu dan memuaskan ego mu yang ingin terlihat hebat.  Pendidikan? Bukan, itu keegoisan dan kemalasan mencari jalan menguatkan yang lebih baik","Jujurlah wahai kating, OSPEK marah marah yang kamu buat itu bukan tentang mendidik adik tingkat. Kamu buat OSPEK marah marah itu buat hiburanmu dan memuaskan ego mu yang ingin terlihat hebat. Pendidikan? Bukan, itu keegoisan dan kemalasan mencari jalan menguatkan yang lebih baik"
@tanyakanrl Otaknya turun ke neraka kalik tapi jangan menghujat seorang yang punya kulit hitam kaya gue kulit orang jawa kok asalkan yaa jangan pengen punya kulit putih kek orang korea itu kulit lu bukan dekil atau apa yah itu keturunan daerah kalian masing² jadilah diri kalian sendiri,Otaknya turun ke neraka kalik tapi jangan menghujat seorang yang punya kulit hitam kaya gue kulit orang jawa kok asalkan yaa jangan pengen punya kulit putih kek orang korea itu kulit lu bukan dekil atau apa yah itu keturunan daerah kalian masing² jadilah diri kalian sendiri
pls jgn sok ganteng,pls jgn sok ganteng
bodoh SM,bodoh SM
"RT or any kind of interactions are appreciated. 🤍  Selamat malam! Karena aku baru keluarin anak baru, apa boleh bantu ospek? Please do let me know through DM kalau ada kesamaan dengan BA lain ya, dan sekalian bantu aku buat tentuin harganya juga! :3  SFU. #zonauang #zonaba https://t.co/1I7zYPovsz","RT or any kind of interactions are appreciated. 🤍 Selamat malam! Karena aku baru keluarin anak baru, apa boleh bantu ospek? Please do let me know through DM kalau ada kesamaan dengan BA lain ya, dan sekalian bantu aku buat tentuin harganya juga! :3 SFU. #zonauang #zonaba"
Ternyata gue pernah sebucin tolol goblok dungu itu ya sama COWOK (io).,Ternyata gue pernah sebucin tolol goblok dungu itu ya sama COWOK (io).
any interaction are appreciated! #zonauang #zonaba haii aku punya anak baru lagi yang siap di ospek :p namanya jiggles! boleh minta tolong di ospek in yaa! oh iya layout nya ufs ya boleh cek ALT &gt;____&lt; thank you!‍⬛ https://t.co/n7aDgn4II8,any interaction are appreciated! #zonauang #zonaba haii aku punya anak baru lagi yang siap di ospek :p namanya jiggles! boleh minta tolong di ospek in yaa! oh iya layout nya ufs ya boleh cek ALT &gt;____&lt; thank you!‍⬛
"Pasti shipper akgae + fans bg senior. Bukti kalau emang syarat jadi penumpang bluesy itu iq jongkok alias tolol. Misal ternyata mereka tuh cewe, ngestan bg yg membernya lebih banyak dr æs bisa, tapi sama member æs lain selain biasnya malah dikata-katain. Miris bgt najis wkwk.","Pasti shipper akgae + fans bg senior. Bukti kalau emang syarat jadi penumpang bluesy itu iq jongkok alias tolol. Misal ternyata mereka tuh cewe, ngestan bg yg membernya lebih banyak dr æs bisa, tapi sama member æs lain selain biasnya malah dikata-katain. Miris bgt najis wkwk."
Orang lain pergi bazar tengok makanan. Tapi si bodoh ni pergi bazar tengok tetek orang https://t.co/BadH50APdm,Orang lain pergi bazar tengok makanan. Tapi si bodoh ni pergi bazar tengok tetek orang
lah elo udh kurus jelek lagi wkwkkwkw,lah elo udh kurus jelek lagi wkwkkwkw
"gue pernah nolak ajakan sex, abis itu gue dibully dikatain perek jelek gendut kayak babon. jadi yg harus nya dibenahi itu apa dan siapa?   sekali lagi, makhluk ber-akal ini tidak bercermin","gue pernah nolak ajakan sex, abis itu gue dibully dikatain perek jelek gendut kayak babon. jadi yg harus nya dibenahi itu apa dan siapa? sekali lagi, makhluk ber-akal ini tidak bercermin"
dia dateng dalam keadaan kurus kotor jelek dekil laper yauda aku kasi makan karena nempelin aku mulu akhirnya aku mandiin karena aku gamau pegang kalo dia kotor abis itu dia nempel terus kemanapun aku pergi aku jadi sayang sampe nangis saking sayangnya. trs katanya itu kayak,dia dateng dalam keadaan kurus kotor jelek dekil laper yauda aku kasi makan karena nempelin aku mulu akhirnya aku mandiin karena aku gamau pegang kalo dia kotor abis itu dia nempel terus kemanapun aku pergi aku jadi sayang sampe nangis saking sayangnya. trs katanya itu kayak
cowo cupu?! https://t.co/OJC4GpHfVq,cowo cupu?!
@neyikaybettik En büyük sorun laiklik ve dinsizliktir. Gerçek müslüman olsun herkes gör o zaman dünyadaki cenneti,En büyük sorun laiklik ve dinsizliktir. Gerçek müslüman olsun herkes gör o zaman dünyadaki cenneti
 Kok kurus banget Ucap manusia jelek gendut pesek.,Kok kurus banget Ucap manusia jelek gendut pesek.
orang orang yang ngebully tan skin bilang aura maghrib aura maghrib tuh kalo ketemu pengen gue tonjok beneran deh,orang orang yang ngebully tan skin bilang aura maghrib aura maghrib tuh kalo ketemu pengen gue tonjok beneran deh
"Azerbaycan kardeş değil düşman ülkedir. Filistin'e sahip çıkmayan, soykırıma başından beri enerji sağlamakla azerbaycan aslında Müslümlumanin kardeşi olmadığını ortaya koydu @presidentaz","Azerbaycan kardeş değil düşman ülkedir. Filistin'e sahip çıkmayan, soykırıma başından beri enerji sağlamakla azerbaycan aslında Müslümlumanin kardeşi olmadığını ortaya koydu"
Unej meminta kepada maba Fakultas Teknik yang merasa jadi korban perploncoan senior untuk bersuara. Unej menjamin perlindungan agar tak diintimidasi senior. https://t.co/b6PTdGxNv2,Unej meminta kepada maba Fakultas Teknik yang merasa jadi korban perploncoan senior untuk bersuara. Unej menjamin perlindungan agar tak diintimidasi senior.
"Lah supir truk waras dikata tolol, ente aja mental kagetan lagu-laguan ngebut &amp; cornering https://t.co/p9YvsiOsXB","Lah supir truk waras dikata tolol, ente aja mental kagetan lagu-laguan ngebut &amp; cornering"
💚 dikiranya kita bodoh gitu ya Retak kek gitu dekat rumah gue juga banyak jingan https://t.co/UIMJBmp33v,💚 dikiranya kita bodoh gitu ya Retak kek gitu dekat rumah gue juga banyak jingan
Ada juga kok disini salah satu jurusan ui! (bukan jurusan gw) ga ngebolehin kekantin fakultas pas masih masa ospek . Ya menurut gw aneh dan gaada manfaatnya ngelarang kekantin nya sendiri dan malah jadinya FAKULTAS LAIN LEBIH BANYAK NANGKRING KE KANTIN SINI https://t.co/hXh93ci9tc,Ada juga kok disini salah satu jurusan ui! (bukan jurusan gw) ga ngebolehin kekantin fakultas pas masih masa ospek . Ya menurut gw aneh dan gaada manfaatnya ngelarang kekantin nya sendiri dan malah jadinya FAKULTAS LAIN LEBIH BANYAK NANGKRING KE KANTIN SINI
Gak jelas bjir orang yang nyerang cewek di tiktok gara-gara pacarnya jelek sampe harus klarifikasi minta maaf karena dia jelek??? Aneh😭😭😭 pikirin aj cowok idiot sok ganteng lu yg abusive secara fisik dan verbal itu,Gak jelas bjir orang yang nyerang cewek di tiktok gara-gara pacarnya jelek sampe harus klarifikasi minta maaf karena dia jelek??? Aneh😭😭😭 pikirin aj cowok idiot sok ganteng lu yg abusive secara fisik dan verbal itu
waduh bang cupu bgt sihhh https://t.co/Lv5ts3vF9Z,waduh bang cupu bgt sihhh
"@caratstalk udah mau sok ganteng padahal itu dia, ngebayangin rambutnya terbang² kena angin, eh yg dateng gelembung😭😭😭","udah mau sok ganteng padahal itu dia, ngebayangin rambutnya terbang² kena angin, eh yg dateng gelembung😭😭😭"
"HELP FK AKU AKU SETRIKA PAT NYA SOALNYA KAYAJ GEMBUL BANGET, terus sekarang kurus banget....... JELEK BANGET HELLPPP","HELP FK AKU AKU SETRIKA PAT NYA SOALNYA KAYAJ GEMBUL BANGET, terus sekarang kurus banget....... JELEK BANGET HELLPPP"
Bukan gmn tp tiap orang punya preferensi masing2.. preferensi gw cwk yg ga ngondek.. mau ganteng-jelek item-putih kurus-kekar trserah yg penting manly ga ngondek,Bukan gmn tp tiap orang punya preferensi masing2.. preferensi gw cwk yg ga ngondek.. mau ganteng-jelek item-putih kurus-kekar trserah yg penting manly ga ngondek
"Masuk ke gerai makanan/minuman terus ngoceh bla bla bla, sorry to say ya, too much sih menurutku jatohnya jadi kayak kampungan. Gak gitu cara maennya . . .","Masuk ke gerai makanan/minuman terus ngoceh bla bla bla, sorry to say ya, too much sih menurutku jatohnya jadi kayak kampungan. Gak gitu cara maennya . . ."
@uremylyf Ini tambahan dari orang cupu,Ini tambahan dari orang cupu
Ya Allah gak kau julid tapi aku gak tahan ya Allah item kurus jelek beleng ya Allah ,Ya Allah gak kau julid tapi aku gak tahan ya Allah item kurus jelek beleng ya Allah
@AyaniMel Bodoh si ayani ni..kau dibayar berapa sama israhell ada 1 milyar ??? Bagus menlu indonesia sesuai UUD 1945 menentang penjajahan.,Bodoh si ayani ni..kau dibayar berapa sama israhell ada 1 milyar ??? Bagus menlu indonesia sesuai UUD 1945 menentang penjajahan.
Korban sengaja bekerja sampai malam demi cari biaya tambahan persalinan istri. Istri korban yg hamil 5 bulan pun depresi akibat suaminya meninggal dibegal. Begal tolol gini pantasnya ditembak mati aja di tempat. Masa bodoh sama HAM. Seolah-olah mereka mikirin HAM korbannya aja.,Korban sengaja bekerja sampai malam demi cari biaya tambahan persalinan istri. Istri korban yg hamil 5 bulan pun depresi akibat suaminya meninggal dibegal. Begal tolol gini pantasnya ditembak mati aja di tempat. Masa bodoh sama HAM. Seolah-olah mereka mikirin HAM korbannya aja.
Baru ngeh berasa dan nyadar kalo ternyata gua pernah kuliah di kampus dengan kampungan mindset🥲,Baru ngeh berasa dan nyadar kalo ternyata gua pernah kuliah di kampus dengan kampungan mindset🥲
adek gw gemey amatt : km nanti malam ada interview mbaa? : iyaa : memang km mau ngapaiin? : ada kepanitiaan buat ospek : oooh ospek yaa kakak2 buat adek2 baru? hii berarti km harus bisa galak lho : yaa ga smua panitia ospek itu harus galaak ,adek gw gemey amatt : km nanti malam ada interview mbaa? : iyaa : memang km mau ngapaiin? : ada kepanitiaan buat ospek : oooh ospek yaa kakak2 buat adek2 baru? hii berarti km harus bisa galak lho : yaa ga smua panitia ospek itu harus galaak
@urielsajjang @Regaan_al Enak aja dibilang bodoh uri Mingsok,@Regaan_al Enak aja dibilang bodoh uri Mingsok
Plt Ketum PPP Mardiono mengatakan Sandiaga Uno masih tahap ospek sebelum resmi bergabung ke PPP. Apa respons Sandiaga? https://t.co/A13oKalRWA,Plt Ketum PPP Mardiono mengatakan Sandiaga Uno masih tahap ospek sebelum resmi bergabung ke PPP. Apa respons Sandiaga?
kekkk waktu tembem kmrn vibesny lebih ke anak2 comel skrng lebih mature gt keliatanny ampe ada yg ngehate cewe ku jelek kalo kurus,kekkk waktu tembem kmrn vibesny lebih ke anak2 comel skrng lebih mature gt keliatanny ampe ada yg ngehate cewe ku jelek kalo kurus
"#SaatMenghadapTuhan Remaja Damar yang pernah membunuh di usia 10 tahun harus dihadapkan dengan situasi yang menguji kesabaran saat dua sahabat baiknya di SMA, Gito jadi korban perundungan dan Nala jadi korban pelecehan seksual ayahnya sendiri.","#SaatMenghadapTuhan Remaja Damar yang pernah membunuh di usia 10 tahun harus dihadapkan dengan situasi yang menguji kesabaran saat dua sahabat baiknya di SMA, Gito jadi korban perundungan dan Nala jadi korban pelecehan seksual ayahnya sendiri."
avanya blm ada sih tapi apakh bleh aq meminta ospek onegaii https://t.co/lZjbKpa4qg,avanya blm ada sih tapi apakh bleh aq meminta ospek onegaii
"Kalo ngatain idola Kita aura maghrib, emang plisket aura nya gimana sih  Tolong kasik paham, guysss","Kalo ngatain idola Kita aura maghrib, emang plisket aura nya gimana sih Tolong kasik paham, guysss"
@moviemenfes Terus yg hitam berarti dekil gitu nder kurang²in deh liet dari warna kulit,Terus yg hitam berarti dekil gitu nder kurang²in deh liet dari warna kulit
ada-ada saja orang yg nganggep sinetron sebagai hiburan jelek orang kampungan tapi suka riverdale,ada-ada saja orang yg nganggep sinetron sebagai hiburan jelek orang kampungan tapi suka riverdale
"@amburadell @quarterafthree baiklahhh klinik ospek sajaa, terima kasi gaisss🫶🏻🫶🏻🫶🏻","@quarterafthree baiklahhh klinik ospek sajaa, terima kasi gaisss🫶🏻🫶🏻🫶🏻"
gausah sok ganteng https://t.co/10DRDsyilq,gausah sok ganteng
Hallo semua! Aku disini membawa anak baru untuk di ospek ‍️ apabila ada kesamaan design dengan milik orang lain boleh banget tegur aku di dm yah terimakasih &lt;3 RTs are highly apreciated #zonauang https://t.co/zzdTlg16t6,Hallo semua! Aku disini membawa anak baru untuk di ospek ‍️ apabila ada kesamaan design dengan milik orang lain boleh banget tegur aku di dm yah terimakasih &lt;3 RTs are highly apreciated #zonauang
2beer! Bayangin te2 lo digrauk orang tanpa persetujuan tapi lo harus terima krn lo public figure xixixi tolol mendarah daging kata aku teh yg komen☺️ https://t.co/n5b1LeR75K,2beer! Bayangin te2 lo digrauk orang tanpa persetujuan tapi lo harus terima krn lo public figure xixixi tolol mendarah daging kata aku teh yg komen☺️
nanti sore ⌒(ゝ｡ ∂) https://t.co/8LumIw0vpM,nanti sore ⌒(ゝ｡ ∂)
"💚 Serius mo nanya deh ama anak kota,anak kabupaten se kampungan itu kah dimata kalian? Gini""kita juga ngerti hal"" luar  kaya kalian kok hihi","💚 Serius mo nanya deh ama anak kota,anak kabupaten se kampungan itu kah dimata kalian? Gini""kita juga ngerti hal"" luar kaya kalian kok hihi"
ewhh kampungan bgt,ewhh kampungan bgt
Oren hitam... ASELI JELEK BGT WARNANYA CUK,Oren hitam... ASELI JELEK BGT WARNANYA CUK
Klo lihat foto ini jg seketika ingat story ka' @evergloeysoo Mr. Park dan Dudu klo dudu dr kecil sdh keren sedangkan Mr. Park culun ingusan 😂,Klo lihat foto ini jg seketika ingat story ka' Mr. Park dan Dudu klo dudu dr kecil sdh keren sedangkan Mr. Park culun ingusan 😂
@rameankebulan @idextratime Bek ok deh culun. Kiper? Pickford kek dibenci bgt pdhl ga ada kiper inggris yg lebih baik dari dia,@idextratime Bek ok deh culun. Kiper? Pickford kek dibenci bgt pdhl ga ada kiper inggris yg lebih baik dari dia
"Ngerasa paling ganteng kah? HAHAHAHAH temennya jg ngatain si cewe sasimo sok cantik, ini dia jg sok ganteng.","Ngerasa paling ganteng kah? HAHAHAHAH temennya jg ngatain si cewe sasimo sok cantik, ini dia jg sok ganteng."
"""Pengikut Trump kemarin menyerbu gedung Capitol AS menghentikan penghitungan electoral college kemenangan Joe Biden. Aksi kampungan yang tidak mencerminkan nilai ideologi yang dijunjungnya itu,"" kata Hendropriyono.  https://t.co/D7J9nM2hhu","""Pengikut Trump kemarin menyerbu gedung Capitol AS menghentikan penghitungan electoral college kemenangan Joe Biden. Aksi kampungan yang tidak mencerminkan nilai ideologi yang dijunjungnya itu,"" kata Hendropriyono."
@faizal_rsln bodoh siapa tuduh tmj yang plan buat faisal halim tu faisal halim ada pun selangor memang kena ayam ler,bodoh siapa tuduh tmj yang plan buat faisal halim tu faisal halim ada pun selangor memang kena ayam ler
"Lucu banget, cuma karena upload status ada wajah aku, dibilang sok cantik. Padahal aku cuma mau have fun dan sharing momen, gak cari validasi. Aku juga udah atur siapa aja yang bisa lihat. Kalo gak suka, kan bisa di-skip aja.","Lucu banget, cuma karena upload status ada wajah aku, dibilang sok cantik. Padahal aku cuma mau have fun dan sharing momen, gak cari validasi. Aku juga udah atur siapa aja yang bisa lihat. Kalo gak suka, kan bisa di-skip aja."
 Males ikut ospek takut disuruh makan makanan yg aneh-aneh Meanwhile PPSMB UGM: https://t.co/z87Pv1JUBr,Males ikut ospek takut disuruh makan makanan yg aneh-aneh Meanwhile PPSMB UGM:
Tp keknya ekspresiku ini emg tengil se aku dh bbrp kali dikira ngece asdos mbak2 ospek mas2 ospek sm hrd grgr aku dikira ngece blio krna senyum2 anj yg paling aneh tu asdos sm mbak2 ospek blio marah anjir org aku ga ngapa2in ,Tp keknya ekspresiku ini emg tengil se aku dh bbrp kali dikira ngece asdos mbak2 ospek mas2 ospek sm hrd grgr aku dikira ngece blio krna senyum2 anj yg paling aneh tu asdos sm mbak2 ospek blio marah anjir org aku ga ngapa2in
Iya anjirrr jelek bat co sumpah typical jamet motor supra kurus yg rambutnya jambul kuning kurus kaosnya beruang petir item,Iya anjirrr jelek bat co sumpah typical jamet motor supra kurus yg rambutnya jambul kuning kurus kaosnya beruang petir item
Wibu jelek bau,Wibu jelek bau
@drtgfakhruddin Kau bukan pakai diesel pun pakcik. Tambahan lagi subsidi bersasar masih ada. Apa ke bodoh.,Kau bukan pakai diesel pun pakcik. Tambahan lagi subsidi bersasar masih ada. Apa ke bodoh.
Mandaaaaa Yayang mu dikatain aura maghrib tuh sama fans muuu https://t.co/QUeMjNkmAM,Mandaaaaa Yayang mu dikatain aura maghrib tuh sama fans muuu
Kegilaan apalagi ini? Ada orang2 bodoh yg mau membayar sebuah akun ancom (animal communicator) agar bisa berkomunikasi dgn kucingnya. Dan rata2 korbannya para avkor. https://t.co/7SbPGUZfVS,Kegilaan apalagi ini? Ada orang2 bodoh yg mau membayar sebuah akun ancom (animal communicator) agar bisa berkomunikasi dgn kucingnya. Dan rata2 korbannya para avkor.
"@hanityo KALAU KAMPUNGAN, SDM RENDAH, MONEY ORIENTED DIJADIKAN SATU KESATUAN, COMBO LAH ITU SEREMNYA. Kalo APARATNYA tidak benar2 hadir untuk menegakkan hukum ditengah2 masyarakat yg primitif gitu, ya sudah, selamanya akan jadi daerah 'sarang kejahatan'","KALAU KAMPUNGAN, SDM RENDAH, MONEY ORIENTED DIJADIKAN SATU KESATUAN, COMBO LAH ITU SEREMNYA. Kalo APARATNYA tidak benar2 hadir untuk menegakkan hukum ditengah2 masyarakat yg primitif gitu, ya sudah, selamanya akan jadi daerah 'sarang kejahatan'"
Teteh distro ngomong kasar lalu banyak lelaki terpukau udah cantik tapi ngga jaim. Faklah cewek cewek sok sopan di luar sana.,Teteh distro ngomong kasar lalu banyak lelaki terpukau udah cantik tapi ngga jaim. Faklah cewek cewek sok sopan di luar sana.
"ngga boleh insecure punya kulit gelap. mari kita usahakan punya kulit glowing eksotis ituu  kata netizen kulit kek gini “aura maghrib”, plis deh ketikan lo ngga lucu sama sekali https://t.co/Da7199tLme","ngga boleh insecure punya kulit gelap. mari kita usahakan punya kulit glowing eksotis ituu kata netizen kulit kek gini “aura maghrib”, plis deh ketikan lo ngga lucu sama sekali"
Viral video anak SD dipukuli siswi SMP demi jadi anggota geng. Polres Metro Depok telah mengamankan dua orang pelaku. Ternyata aksi perundungan menggunakan modus senior-junior yang dinilai menjadi 'ritual' sejak lama. (ist) https://t.co/8hBloVvsfz,Viral video anak SD dipukuli siswi SMP demi jadi anggota geng. Polres Metro Depok telah mengamankan dua orang pelaku. Ternyata aksi perundungan menggunakan modus senior-junior yang dinilai menjadi 'ritual' sejak lama. (ist)
C'est vraiment une dinguerie d'appeler son enfant Ninho ptdrrr https://t.co/Dr4b3GH2Ts,C'est vraiment une dinguerie d'appeler son enfant Ninho ptdrrr
YUK BESOK NIAT MANDIIN LOUIS YUK KESIAN TUH MAKHLUK HITAM DEKIL UDH HAMPIR 1 BULAN GK GW MANDIIN,YUK BESOK NIAT MANDIIN LOUIS YUK KESIAN TUH MAKHLUK HITAM DEKIL UDH HAMPIR 1 BULAN GK GW MANDIIN
"— aku tipikal cewe yang punya pinggul lebar, bokong yg gede, pipi tembem; bb 80 tinggi 173. kadang aku ga percaya diri, karena orang sekitar aku bilang badan aku ini jelek. kalau kurus pasti cantik, katanya.  hari ini aku di bodyshaming lagi. tapi, aku gaboleh nyalahin diri trs!! https://t.co/bQ1GMYbMdF","— aku tipikal cewe yang punya pinggul lebar, bokong yg gede, pipi tembem; bb 80 tinggi 173. kadang aku ga percaya diri, karena orang sekitar aku bilang badan aku ini jelek. kalau kurus pasti cantik, katanya. hari ini aku di bodyshaming lagi. tapi, aku gaboleh nyalahin diri trs!!"
@Ayy_only merasa kek org bodoh,merasa kek org bodoh
Wkwkwk jelek bgt jek sumpah botak dah gitu kurus kerempeng https://t.co/K4t8pgmBAZ,Wkwkwk jelek bgt jek sumpah botak dah gitu kurus kerempeng
Katanya orang yang gagal mulu dalam percintaan jodohnya itu kematian   Ya siapa juga yang mau sama wibu sok keras suara jelek masih suka upload upload lagi nyanyi 🥹 https://t.co/hH7GvaoN9Y,Katanya orang yang gagal mulu dalam percintaan jodohnya itu kematian Ya siapa juga yang mau sama wibu sok keras suara jelek masih suka upload upload lagi nyanyi 🥹
mau pamer uda checklist it takes two  date (kita ud main bulan lalu tapi dia cupu bgt jadinya ga kelar2) 🤭🤭🤭🤭🤭 https://t.co/kpc2P6nB79,mau pamer uda checklist it takes two date (kita ud main bulan lalu tapi dia cupu bgt jadinya ga kelar2) 🤭🤭🤭🤭🤭
@pwettykyoong @hanaspring03 ada lagi kakk. ngatain lulusan s3 tp bodoh... LAH YANG BODOH KAN MEREKAAAA https://t.co/isztZpra7v,@hanaspring03 ada lagi kakk. ngatain lulusan s3 tp bodoh... LAH YANG BODOH KAN MEREKAAAA
Anjing ya tinggal di kota tapi mentalnya kampungan semua.,Anjing ya tinggal di kota tapi mentalnya kampungan semua.
"Pengendara mobil belum siap lewat tol layang Japek. Buktinya ditemukan kendaraan mogok, dan pengendara mobil kencing sembarangan. Begini respon pengamat: #TolJapek #Macet  via @detikoto https://t.co/rFuN89Nt9P","Pengendara mobil belum siap lewat tol layang Japek. Buktinya ditemukan kendaraan mogok, dan pengendara mobil kencing sembarangan. Begini respon pengamat: #TolJapek #Macet via https://t.co/rFuN89Nt9P"
